"","tau","Model","Est","SE","AICc","GOF0","GOF5"
"72",146,"Poisson",1000.12158526754,0.348906167905711,15633.8046255207,0,0
"73",157,"Poisson",1000.10472879701,0.323792859057363,16226.1910302191,0,0
"74",163,"Poisson",1000.08969104979,0.299624966426281,16847.8998423485,0,0
"75",166,"Poisson",1000.07660499882,0.276888427930958,17481.6100706304,0,0
"76",168,"Poisson",1000.06531793287,0.255663447003824,18121.5007191952,0,0
"77",169,"Poisson",1000.05565644764,0.235987745124558,18761.8142061325,0,0
"78",174,"Poisson",1000.04720115229,0.217314947211591,19425.3893015081,0,0
"79",181,"Poisson",1000.03976184146,0.19944818513198,20123.6418158597,0,0
"80",190,"Poisson",1000.03320505536,0.1822569973424,20868.1564294245,0,0
"81",192,"Poisson",1000.02768409062,0.166411992873383,21617.9748778577,0,0
"82",195,"Poisson",1000.02302023217,0.151744691121532,22378.8700510093,0,0
"83",209,"Poisson",1000.01888200626,0.13742728016549,23215.2599696328,0,0
"84",3,"SingleExp",1766.49638554217,65.3114988665445,173.107800965794,2.51e-30,2.51e-30
"85",4,"SingleExp",1655.62331081081,52.5510943605801,137.711579300802,2.351e-19,2.351e-19
"86",5,"SingleExp",1581.875,45.228909967796,115.492723893959,2.844e-13,2.844e-13
"87",6,"SingleExp",1505.07980295566,38.327547170471,132.08150752353,7.763e-17,7.763e-17
"88",7,"SingleExp",1470.16567036721,35.4228526594803,118.988840953433,2.418e-12,2.418e-12
"89",8,"SingleExp",1433.72348207754,32.5568572633821,122.102265139959,6.568e-12,6.568e-12
"90",9,"SingleExp",1416.78382053025,31.2821550789073,111.991261067502,7.818e-09,7.818e-09
"91",10,"SingleExp",1387.14898688915,29.1271973641474,127.508645697767,6.469e-12,6.469e-12
"92",11,"SingleExp",1372.14905450501,28.0676797246843,126.169221165869,3.252e-10,3.252e-10
"93",12,"SingleExp",1355.77588871716,26.9374168318837,131.976161741214,2.677e-10,2.952e-06
"94",13,"SingleExp",1344.36310395315,26.1645873843714,133.996366573967,1.652e-09,3.147e-07
"95",14,"SingleExp",1324.65042091272,24.8516682070298,158.196670049933,1.414e-15,3.05e-13
"96",15,"SingleExp",1317.4045279795,24.3759799471669,159.23939990636,3.7e-14,2.344e-13
"97",16,"SingleExp",1308.73303352412,23.8132477391882,164.982716290259,6.411e-14,8.865e-11
"98",17,"SingleExp",1297.63861003861,23.1006371522345,178.870209999076,2.971e-16,3.051e-10
"99",18,"SingleExp",1296.37169159954,23.0199677621505,177.966080905413,2.397e-15,2.579e-11
"100",19,"SingleExp",1292.34272829763,22.7652500889899,180.315377403951,1.525e-14,2.654e-11
"101",20,"SingleExp",1281.58549591184,22.0896645321656,200.728425586785,2.346e-20,2.123e-12
"102",21,"SingleExp",1276.26546837193,21.7575591789482,207.739807512069,2.455e-20,5.764e-13
"103",22,"SingleExp",1270.87806516627,21.4229755206138,216.091605398326,6.969e-21,3.334e-14
"104",23,"SingleExp",1260.33491912464,20.7711859110509,242.934796781932,5.352e-31,1.493e-16
"105",24,"SingleExp",1259.02046599496,20.6902589602824,243.905750466751,7.727e-30,6.71e-20
"106",25,"SingleExp",1253.64333740831,20.3603996795974,255.565312388289,2.274e-31,2.788e-22
"107",26,"SingleExp",1250.9238410596,20.1941115083273,260.225717108851,1.299e-30,7.452e-21
